check,施設ID,施設名,郵便番号,住所,方書,電話番号,FAX番号,緯度,経度,行政区コード,カテゴリリスト
,1314,こうべ安心サポートセンター「りんりんネット」,651-0086,中央区磯上通3-1-32,こうべ市民福祉交流センター4階,078-271-3740,,34.69283,135.20178,中央区,高齢者のための施設
,1315,神戸市高年齢者職業相談室,651-0096,中央区雲井通5-3-1,サンパル2階,078-232-8650,,34.695549,135.197266,中央区,高齢者のための施設
,1316,本山東部あんしんすこやかセンター,658-0016,東灘区本山中町4-2-3,サンコー神戸元山ビル3階,078-451-0054,078-451-0153,34.72488,135.280659,東灘区,高齢者のための施設
,1317,本庄あんしんすこやかセンター,658-0014,東灘区北青木1-1-3,特別養護老人ホームおおぎの郷1階,078-431-8181,078-431-2000,34.721714,135.286561,東灘区,高齢者のための施設
,1318,本山南部あんしんすこやかセンター,658-0084,東灘区甲南町2-1-20,コープリビング甲南2階,078-413-2650,078-413-1085,34.722253,135.27621,東灘区,高齢者のための施設
,1319,本山西部あんしんすこやかセンター,658-0072,東灘区岡本2-10-15,,078-435-1855,078-435-1880,34.727183,135.272493,東灘区,高齢者のための施設
,1320,魚崎北部あんしんすこやかセンター（魚崎高齢者介護支援センター）,658-0083,東灘区魚崎中町4-10-50,特別養護老人ホーム　サンライフ魚崎1階,078-435-6677,078-435-6689,34.715281,135.270324,東灘区,高齢者のための施設
,1321,魚崎南部あんしんすこやかセンター,658-0083,東灘区魚崎中町4-3-18,東灘センター2階,078-452-6830,078-436-2675,34.714006,135.271596,東灘区,高齢者のための施設
,1322,住吉北部・御影北部あんしんすこやかセンター,658-0051,東灘区住吉本町3-7-41,養護老人ホーム　住吉苑内,078-851-1155,078-851-1157,34.723902,135.259111,東灘区,高齢者のための施設
,1323,住吉南部あんしんすこやかセンター（東灘在宅福祉センター）,658-0053,東灘区住吉宮町3-4-17,東灘在宅福祉センター2階,078-842-3894,078-842-6115,34.716248,135.261222,東灘区,高齢者のための施設
,1324,御影南部あんしんすこやかセンター,658-0054,東灘区御影中町2-3-23-105,リメノス御影1階,078-854-2180,078-854-2181,34.718342,135.255562,東灘区,高齢者のための施設
,1325,六甲アイランドあんしんすこやかセンター,658-0032,東灘区向洋町中3-2-6,協同の苑六甲アイランドにじの家1階,078-857-7381,078-843-5030,34.68695,135.271474,東灘区,高齢者のための施設
,1326,高羽あんしんすこやかセンター,657-0026,灘区弓木町5-3-16,カァサー六甲1階,078-822-2941,078-822-2947,34.718725,135.242096,灘区,高齢者のための施設
delta=0.0011,1327,六甲摩耶あんしんすこやかセンター,657-0068,灘区篠原北町4-15-16,,078-224-5050,078-881-2225,34.723678,135.22531,灘区,高齢者のための施設
,1328,六甲あんしんすこやかセンター（灘在宅福祉センター）,657-0041,灘区琵琶町2-1-27,灘在宅福祉センター内,078-882-7859,078-882-0833,34.711723,135.236768,灘区,高齢者のための施設
,1329,大石あんしんすこやかセンター（大石高齢者介護支援センター）,657-0043,灘区大石東町1-2-1,神戸市営　大石東第二住宅　1階,078-821-3838,078-821-3812,34.709491,135.238367,灘区,高齢者のための施設
,1330,篠原あんしんすこやかセンター,657-0057,灘区神ノ木通3-6-18,,078-871-9015,078-871-9100,34.71422,135.229663,灘区,高齢者のための施設
,1331,王子あんしんすこやかセンター,657-0838,灘区王子町1-2-6,プリンスマンション2階,078-801-5441,078-801-1733,34.709748,135.218478,灘区,高齢者のための施設
,1332,西灘あんしんすこやかセンター（灘の浜高齢者介護支援センター）,657-0855,灘区摩耶海岸通2-3-9,特別養護老人ホーム　ハピータウンKOBE内,078-803-3130,078-803-3629,34.701105,135.220514,灘区,高齢者のための施設
,1333,新神戸あんしんすこやかセンター,651-0092,中央区生田町1-2-32,特別養護老人ホーム　オリンピア内,078-241-3747,078-241-3745,34.703712,135.196302,中央区,高齢者のための施設
,1334,春日野あんしんすこやかセンター（東部高齢者介護支援センター）,651-0077,中央区日暮通5-5-8,,078-251-8801,078-251-8813,34.698524,135.203096,中央区,高齢者のための施設
,1335,脇の浜あんしんすこやかセンター（脇の浜高齢者介護支援センター）,651-0073,中央区脇浜海岸通3-2-6,,078-221-1661,078-221-4800,34.69536,135.207235,中央区,高齢者のための施設
,1336,三宮あんしんすこやかセンター（中央在宅福祉センター）,651-0086,中央区磯上通3-1-32,こうべ市民福祉交流センター6階　中央在宅福祉センター内,078-271-9604,078-271-5369,34.69283,135.20178,中央区,高齢者のための施設
,1337,元町山手あんしんすこやかセンター,650-0011,中央区下山手通7-1-16,山手さくら苑4階,078-367-3890,078-367-3891,34.688116,135.178902,中央区,高齢者のための施設
,1338,ハーバーランドあんしんすこやかセンター,650-0044,中央区東川崎町6-1-12,東川崎高齢者ケアセンター真愛内,078-651-7168,078-651-7169,34.674971,135.179119,中央区,高齢者のための施設
,1339,港島あんしんすこやかセンター,650-0046,中央区港島中町5-2,介護老人福祉施設ぽー愛内,078-940-0091,078-303-0605,34.663272,135.209297,中央区,高齢者のための施設
,1340,兵庫平野あんしんすこやかセンター,652-0014,兵庫区下三条町8-20,,078-574-4812,078-574-4813,34.689955,135.167425,兵庫区,高齢者のための施設
,1341,みなとがわあんしんすこやかセンター,652-0058,兵庫区菊水町5-4-6,,078-521-9138,078-521-9177,34.684964,135.160256,兵庫区,高齢者のための施設
delta=0.0045,1342,荒田あんしんすこやかセンター,652-0032,兵庫区荒田町1-10-5,グランドプラザ神戸101,078-511-1900,078-511-4311,34.685016,135.16613,兵庫区,高齢者のための施設
,1343,新開地あんしんすこやかセンター,652-0803,兵庫区大開通1-1-1,神鉄ビル10階,078-577-1445,078-577-1441,34.675604,135.169411,兵庫区,高齢者のための施設
,1344,夢野の丘あんしんすこやかセンター（兵庫在宅福祉センター）,652-0058,兵庫区菊水町10-40,兵庫在宅福祉センター内,078-521-1308,078-521-1433,34.679975,135.154284,兵庫区,高齢者のための施設
delta=0.0255,1345,中道あんしんすこやかセンター（中道高齢者介護支援センター）,652-0801,兵庫区中道通6-1-33,中道高齢者介護支援センター1階,078-575-9300,078-575-7791,34.673615,135.16295,兵庫区,高齢者のための施設
,1346,"キャナルタウンあんしんすこやかセンター（キヤナルタウン高齢者介護支援センター）
すこやかセンター（キャナ
ルタウン高齢者介護支援
センター）",652-0897,兵庫区駅南通5-1-2,"高齢者総合福祉施設　モーツァルト兵庫駅前
内",078-681-1515,078-681-6780,34.667085,135.163911,兵庫区,高齢者のための施設
,1347,浜山あんしんすこやかセンター（浜山高齢者介護支援センター）,652-0875,兵庫区浜中町1-16-18,浜山高齢者介護支援センター内,078-671-8731,078-671-8732,34.655758,135.165834,兵庫区,高齢者のための施設
delta=0.0172,1348,道場あんしんすこやかセンター,651-1502,北区道場町塩田字東山岡3080,特別養護老人ホームやすらぎの里道場内,078-985-6581,078-985-6580,34.872223,135.245649,北区,高齢者のための施設
,1349,ありのあんしんすこやかセンター,651-1302,北区藤原台中町5-1-2,特別養護老人ホームふじの里内,078-984-5118,078-984-5119,34.822548,135.214854,北区,高齢者のための施設
,1350,八多淡河あんしんすこやかセンター,651-1623,北区淡河町野瀬715,JA兵庫六甲上淡河支店内,078-950-9165,078-950-9166,34.818092,135.143849,北区,高齢者のための施設
,1351,有馬あんしんすこやかセンター,651-1332,北区唐櫃台2-23-8,コープこうべからと店　1階,078-983-1611,078-983-1623,34.791027,135.212094,北区,高齢者のための施設
,1352,谷上あんしんすこやかセンター,651-1243,北区山田町下谷上字門口10-3,北都病院横,078-583-2666,078-583-9900,34.749877,135.155377,北区,高齢者のための施設
delta=0.0010,1353,神戸北町あんしんすこやかセンター,651-1233,北区日の峰2-7,コープデイズ神戸北町3階,078-582-2874,078-582-3197,34.755666,135.143575,北区,高齢者のための施設
,1354,北鈴蘭台あんしんすこやかセンター,651-1145,北区惣山町2-1-9,JCHO神戸中央病院附属介護老人保健施設1階,078-596-2386,078-596-2446,34.737197,135.15428,北区,高齢者のための施設
,1355,鈴蘭台あんしんすこやかセンター（北在宅福祉センター）,651-1114,北区鈴蘭台西町1-26-2,北在宅福祉センター内,078-592-9604,078-592-5170,34.726584,135.145312,北区,高齢者のための施設
,1356,五葉あんしんすこやかセンター,651-1132,北区南五葉1-2-28,サンロイヤル清水201号,078-596-5315,078-596-5316,34.725242,135.134952,北区,高齢者のための施設
