施設ID,施設名,郵便番号,住所,方書,電話番号,FAX番号,緯度,経度,行政区コード,カテゴリリスト
925,六甲アイランド高等学校,658-0032,東灘区向洋町中4-4,,078-858-4000,078-858-0145,34.684801,135.271433,東灘区,高等学校
926,葺合高等学校,651-0054,中央区野崎通1-1-1,,078-291-0771,078-271-5614,34.711012,135.210287,中央区,高等学校
927,科学技術高等学校,651-0072,中央区脇浜町1-4-70,,078‐272‐9900,078-272-9929,34.704299,135.213609,中央区,高等学校
928,神港高等学校,652-0043,兵庫区会下山町3-16-1,,078‐579‐2000,078-579-2030,34.675814,135.156598,兵庫区,高等学校
929,兵庫商業高等学校,651-1111,北区鈴蘭台北町1-24-1,,078‐591‐1121,078-271-5614,34.727243,135.147041,北区,高等学校
932,須磨翔風高等学校,654-0155,須磨区西落合1-1-5,,078-798-4155,078-798-4135,34.678231,135.088851,須磨区,高等学校
933,神戸工科高等学校,651-0072,中央区脇浜町1-4-70,,078-272-9910(代表),078- 272-9940,34.704201,135.213375,中央区,高等学校
934,摩耶兵庫高等学校,650-0044,中央区東川崎町1-3-8,,078-360-1316,078-360-1318,34.676812,135.179138,中央区,高等学校
935,楠高等学校,652-0045,兵庫区松本通1-1-1,,078-521-4700, 078-521-6450,34.679953,135.16413,兵庫区,高等学校
936,神戸市立工業高等専門学校,651-2194,西区学園東町8-3,,"078-795-3311(事務室庶務係)
078-795-3322(事務室学生係)",078-795-3314,34.679611,135.067213,西区,高等学校
943,神戸市外国語大学,651-2187,西区学園東町9-1,,078-794-8121　,,34.679818,135.060451,西区,短期大学・大学
944,神戸市看護大学,651-2103,西区学園西町3-4,,078-794-8080　　,,34.68649,135.052742,西区,短期大学・大学
951,神戸大学,657-8501,灘区六甲台町1-1,,078-881-1212　　,,34.72631,135.235321,灘区,短期大学・大学
3123,兵庫県立大学（神戸学園都市キャンパス）,651-2197,神戸市西区学園西町8-2-1,,078-794-5184,078-794-6166,34.678377,135.052171,西区,短期大学・大学
3124,神戸大学（深江キャンパス）,658-0022,神戸市東灘区深江南町5-5-1,,078-431-6200,,34.71905,135.288467,東灘区,短期大学・大学
3125,兵庫県立神戸高等技術専門学院,651-2102,神戸市西区学園東町5-2,,078-794-6630,078-794-6637,34.68209,135.066106,西区,短期大学・大学
3126,兵庫県立障害者高等技術専門学院,651-2134,神戸市西区曙町1070,,078-927-3230,078-928-5512,34.67051,134.97748,西区,短期大学・大学
1259,市立盲学校,650-0044,中央区東川崎町1-4-2,,078-360-1133,078-360-1136,34.676809,135.180038,中央区,特別支援学校
1260,県立視覚特別支援学校,655-0884,垂水区城が山4-2-1,,078-751-3291,078-751-3254,34.633277,135.069109,垂水区,特別支援学校
1261,県立神戸聴覚特別支援学校,655-0013,垂水区福田1-3-1,,078-709-9301,078-709-0371,34.63939,135.06214,垂水区,特別支援学校
1264,友生支援学校,652-0063,兵庫県神戸市兵庫区夢野町1-1,,078-576-6120,078-576-6061,34.717342,135.265637,東灘区,特別支援学校
1265,垂水養護学校,655-0033,垂水区旭が丘2-1-15,,078-709-7555,078-709-7582,34.632629,135.051569,垂水区,特別支援学校
1266,県立のじぎく特別支援学校,651-2215,西区北山台2-566-134,,078-994-0196,078-994-0197,34.766494,135.033165,西区,特別支援学校
1267,青陽東養護学校,657-0846,灘区岩屋北町6-1-1,,078-871-1800,078-871-1950 ,34.705926,135.217895,灘区,特別支援学校
1268,青陽西養護学校,655-0049,垂水区狩口台3-1-3,,078-781-1543,078-781-1544,34.649691,135.03169,垂水区,特別支援学校
1270,県立神戸特別支援学校,651-1144,北区大脇台10-1,,078-592-6767,078-592-6768,34.739102,135.163802,北区,特別支援学校
2994,青陽須磨支援学校,654-0155,須磨区西落合1-1-4,,078-793-1006,078-793-1007,34.679002,135.088551,須磨区,特別支援学校
