施設ID,施設名,郵便番号,住所,方書,電話番号,FAX番号,緯度,経度,行政区コード,カテゴリリスト
2251,神戸国際コミュニティセンター,651-0083,中央区浜辺通5-1-14,神戸商工貿易センタービル2階,078-291-8441,078-291-0691,34.692016,135.1959,中央区,その他の官公庁
2542,兵庫県庁,650-8567,中央区下山手通5-10-1,,078-361-8614,,34.691274,135.183021,中央区,その他の官公庁
2543,神戸県民センター,650-0004,中央区中山手通6-1-1,,078-361-8582,,34.690836,135.181354,中央区,その他の官公庁
2544,旅券事務所,651-0087,中央区御幸通8-1-6,国際会館14階,078-222-8700,078-222-8745,34.692016,135.1959,中央区,その他の官公庁
2545,県民情報センター,650-0011,中央区下山手通4-16-3,県民会館4階,078-362-3014,,34.691841,135.185143,中央区,その他の官公庁
2546,兵庫県民総合相談センター,650-0044,中央区東川崎町1-1-3,神戸クリスタルタワー6F,078-360-8511,078-360-2898,34.680637,135.17999,中央区,その他の官公庁
2547,灘県税事務所（東灘・灘区）,657-0051,灘区八幡町2-1-1,,078-841-0851,,34.717917,135.237704,灘区,その他の官公庁
2548,神戸県税事務所（東灘・灘・中央・兵庫・北区）,650-8502,中央区中山手通6-1-1,神戸総合庁舎内,078-361-8506,,34.690836,135.181354,中央区,その他の官公庁
2549,兵庫県税事務所（兵庫・北区）,652-0042,兵庫区東山町3-1-4,,078-511-2153,,34.680703,135.163736,兵庫区,その他の官公庁
2550,西神戸県税事務所（長田・須磨・垂水・西区）,653-0055,長田区浪松町3-2-5,,078-737-2371,,34.649539,135.135711,長田区,その他の官公庁
2551,県立生活科学総合センター,650-0046,中央区港島中町4-2,,078-303-0999,,34.671824,135.207877,中央区,その他の官公庁
2552,兵庫県立男女共同参画センター・イーブン,650-0044,中央区東川崎町1-1-3,神戸クリスタルタワー７階,078-360-8550(代表),078-360-8558,34.680637,135.17999,中央区,その他の官公庁
2553,芦屋税務署（東灘区）,659-0065,芦屋市公光町6-2,,0797-31-2131,,34.72931,135.303596,東灘区,その他の官公庁
2554,灘税務署（灘区）,657-0834,灘区泉通2-1-2,,078-861-5054,,34.711304,135.228099,灘区,その他の官公庁
2555,神戸税務署（中央区）,650-8511,中央区中山手通2-2-20,,078-391-7161,,34.695102,135.189178,中央区,その他の官公庁
2556,兵庫税務署（兵庫・北区）,652-0802,兵庫区水木通2-1-4,,078-576-5131,,34.675465,135.167533,兵庫区,その他の官公庁
2557,長田税務署（長田区）,653-0832,長田区御船通1-4,,078-691-5151,,34.666668,135.148821,長田区,その他の官公庁
2558,須磨税務署（須磨・垂水区）,654-0048,須磨区衣掛町5-2-18,,078-731-4333,,34.645325,135.127837,須磨区,その他の官公庁
2559,明石税務署（西区）,673-0025,明石市田町1-12-1,,078-921-2261,,34.648689,134.977066,西区,その他の官公庁
2560,日本年金機構東灘年金事務所（東灘・灘区）,658-0053,東灘区住吉宮町1-11-17,,078-811-8475,078-821-1438,34.713395,135.265258,東灘区,その他の官公庁
2561,日本年金機構三宮年金事務所（中央区）,650-0033,中央区江戸町93,3・4階,078-332-5793,078-332-4438,34.689978,135.194184,中央区,その他の官公庁
2562,日本年金機構兵庫年金事務所（兵庫・北区）,652-0898,兵庫区駅前通1-3-1,,078-577-0294,078-577-2738,34.667957,135.16345,兵庫区,その他の官公庁
2563,日本年金機構須磨年金事務所（長田・須磨・垂水・西区）,654-0047,須磨区磯馴町4-2-12,,078-731-4794～7,078-731-3938,34.646411,135.127823,須磨区,その他の官公庁
2577,神戸地方裁判所（西区以外）,650-8575,中央区橘通2-2-1,,078-341-7521（代）,,34.682822,135.176007,中央区,その他の官公庁
2578,神戸地方裁判所明石支部（西区）,673-0881,明石市天文町2-2-18,,078-912-3231（代）,,34.645762,135.000378,西区,その他の官公庁
2579,神戸簡易裁判所（西区以外）,650-8565,中央区橘通2-2-1,,078-341-7521（代）,,34.682822,135.176007,中央区,その他の官公庁
2580,明石簡易裁判所（西区）,673-0881,明石市天文町2-2-18,,078-912-3231（代）,,34.645762,135.000378,西区,その他の官公庁
2581,神戸家庭裁判所（西区以外）,652-0032,兵庫区荒田町3-46-1,,078-521-5221（代）,,34.687288,135.168116,兵庫区,その他の官公庁
2582,神戸家庭裁判所明石支部（西区）,673-0881,明石市天文町2-2-18,,078-912-3233（代）,,34.645762,135.000378,西区,その他の官公庁
2583,兵庫行政評価事務所,650-0024,中央区海岸通29,神戸地方合同庁舎2階,078-331-9096,078-333-7919,34.686611,135.194742,中央区,その他の官公庁
2584,大阪入国管理局神戸支局,650-0024,中央区海岸通29,神戸地方合同庁舎内,078-391-6377,078-325-2097,34.686611,135.194742,中央区,その他の官公庁
2585,神戸地方検察庁,650-0016,中央区橘通1-4-1,,078-367-6100,,34.683156,135.177229,中央区,その他の官公庁
2586,神戸地方法務局（不動産:灘・中央・兵庫区、商業・法人:全市）,650-0042,中央区波止場町1-1,神戸第2地方合同庁舎内,078-392-1821,,34.685772,135.19215,中央区,その他の官公庁
2587,神戸地方法務局東神戸出張所（東灘区）,658-0021,東灘区深江本町4-4-1,,078-451-7955,,34.721375,135.289944,東灘区,その他の官公庁
2588,神戸地方法務局北出張所（北区）,651-1145,北区惣山町1-7-11,,078-594-3351,,34.735044,135.151614,北区,その他の官公庁
2589,神戸地方法務局須磨出張所（長田・須磨・垂水区）,654-0154,須磨区中落合3-1-7,,078-794-2045,,34.681541,135.092076,須磨区,その他の官公庁
2590,神戸地方法務局明石支局（西区）,673-0891,明石市大明石町2-4-25,,078-912-5511,,34.648748,134.986491,西区,その他の官公庁
2591,神戸税関,650-0041,中央区新港町12-1,,078-333-3010（代）,,34.684709,135.197328,中央区,その他の官公庁
2592,神戸運輸監理部兵庫陸運部,658-0024,東灘区魚崎浜町34-2,,078-453-1106,,34.706976,135.281429,東灘区,その他の官公庁
2593,神戸地方気象台,651-0073,中央区脇浜海岸通1-4-3,神戸防災合同庁舎内,078-222-8901（代）,,34.697491,135.212815,中央区,その他の官公庁
