施設ID,施設名,郵便番号,住所,方書,電話番号,FAX番号,緯度,経度,行政区コード,カテゴリリスト
1262,湊川多聞小学校難聴学級,650-0017,中央区楠町4-2-4,,078-341-7124,,34.683647,135.172147,中央区,障害のある人のための施設
1263,湊翔楠中学校難聴学級,652-0014,兵庫区下三条町14-1,,078-511-5322,,34.687825,135.16723,兵庫区,障害のある人のための施設
1272,心身障害福祉センター,652-0802,兵庫区水木通2-1-10,,078-577-6505,078-577-6211,34.675402,135.16708,兵庫区,障害のある人のための施設
1273,神戸市こころの健康センター（精神保健福祉センター）,650-0044,中央区東川崎町1-3-3,神戸ハーバーランドセンタービル９階,078-371-1900,078-371-1811,34.678848,135.180688,中央区,障害のある人のための施設
1274,ひがしなだ障害者地域生活支援センター,658-0073,東灘区西岡本2-25-1,,078-452-1510,078-452-1529,34.723469,135.264447,東灘区,障害のある人のための施設
1275,うおざき障害者地域生活支援センター,658-0083,東灘区魚崎中町4-10-32,魚崎デイサービス内,078-451-3760,078-451-3761,34.714309,135.269796,東灘区,障害のある人のための施設
1276,なだ障害者地域生活支援センター,657-0846,灘区岩屋北町6-1-4,東部在宅障害者福祉センター内１階,078-882-7013,078-882-7014,34.705699,135.217073,灘区,障害のある人のための施設
1277,ちゅうおう障害者地域生活支援センター,650-0022,中央区元町通7-3-12,,078-367-6651,078-351-1660,34.682522,135.178916,中央区,障害のある人のための施設
1278,ひょうご障害者地域生活支援センター,652-0897,兵庫区駅南通5-1-1,中部在宅障害者福祉センター内2階,078-686-1731,078-686-1732,34.66804,135.16553,兵庫区,障害のある人のための施設
1279,きた障害者地域生活支援センター,651-1131,北区北五葉1-13-1,レ・アール3階,078-596-6336,078-596-6337,34.727432,135.136655,北区,障害のある人のための施設
1280,たにがみ障害者地域生活支援センター,651-1245,北区谷上東町8-21,シャトーノールデューⅡ1階,078-582-4431,078-582-4432,34.762521,135.170201,北区,障害のある人のための施設
1281,ながた障害者地域生活支援センター,653-0834,長田区川西通5-101-1,,078-643-3730,078-643-3731,34.661877,135.146879,長田区,障害のある人のための施設
1282,すま障害者地域生活支援センター,654-0154,須磨区中落合2-2-8,ワコーレ須磨名谷ステーションマークス１階,078-795-1453,078-795-1454,34.678173,135.093158,須磨区,障害のある人のための施設
