施設ID	施設名	郵便番号	住所	方書	電話番号	FAX番号	緯度	経度	行政区コード	カテゴリリスト
248	ＪＲ神戸駅	650-0025	中央区相生町3-1-1		078-341-8902		34.679549	135.178012	中央区	交通機関
249	ＪＲ三ノ宮駅	651-0097	中央区布引町4-1-1		078-221-0562		34.694851	135.194969	中央区	交通機関
250	ＪＲ新神戸駅	650-0001	中央区加納町1-3-1		078-221-1400		34.706439	135.195795	中央区	交通機関
251	六甲有馬ロープウェー	657-0101	灘区六甲山町北六甲4512-336		078-891-0031	078-891-0032	34.733689	135.205924	灘区	交通機関
252	まやビューライン	657-0105	灘区摩耶山町2-2		078-861-2998	078-806-2300	34.733702	135.205875	灘区	交通機関
254	新神戸ロープウェー	650-0002	中央区北野町1-4-3		078-271-1160		34.704376	135.193914	中央区	交通機関
255	神戸高速鉄道（運輸部）	650-0015	中央区多聞通3-3-9		078-351-0884		34.680095	135.176385	中央区	交通機関
256	神戸新交通ポートライナー三宮駅	651-0096	中央区雲井通8		078-251-2115		34.694584	135.195178	中央区	交通機関
257	神戸新交通六甲ライナー住吉駅	658-0051	東灘区住吉本町1-2		078-822-7231		34.719533	135.262443	東灘区	交通機関
258	神戸交通振興バス（ポートアイランド営業所）	650-0045	中央区港島9-1		078-304-2226		34.6605	135.226081	中央区	交通機関
259	新港フェリーのりば	650-0041	中央区新港町3-7		078-327-3333		34.682584	135.198284	中央区	交通機関
260	阪急電鉄神戸三宮駅	650-0001	中央区加納町4		078-331-4802		34.693139	135.19288	中央区	交通機関
261	阪神電気鉄道神戸三宮駅	651-0088	中央区小野柄通8		078-221-1254		34.693742	135.195023	中央区	交通機関
262	神戸市交通局	650-0001	中央区加納町6-5-1		078-331-8181（代）		34.689739	135.194889	中央区	交通機関
263	神戸電鉄（鉄道営業部）	651-1113	北区鈴蘭台南町6-1-15		078-592-4611		34.722984	135.145784	北区	交通機関
264	北神急行電鉄	651-1243	北区山田町下谷上字大橋27		078-581-1070（代）		34.759952	135.1634	北区	交通機関
265	神戸空港ターミナル	650-0048	中央区神戸空港1		078-304-7777	078-304-0678	34.637092	135.22876	中央区	交通機関
266	神戸空港海上アクセスターミナル	650-0048	中央区神戸空港10		078-304-0033		34.639723	135.228846	中央区	交通機関
3000	三宮バスターミナル	651-0096	中央区雲井通7-1-1	ミント神戸1階			34.694521	135.196005	中央区	交通機関
3001	神戸ポートターミナル	650-0041	中央区新港町4-5				34.680487	135.2029	中央区	交通機関
3002	中突堤旅客ターミナル	650-0042	中央区波止場町5-6	神戸メリケンパークオリエンタルホテル1・2階			34.680238	135.188393	中央区	交通機関
3003	中突堤中央ターミナル（かもめりあ）	650-0042	中央区波止場町7-1				34.682517	135.185018	中央区	交通機関
214	市バス魚崎営業所	658-0024	東灘区魚崎浜町32-2		078-441-0921		34.707676	135.279973	東灘区	市バス・地下鉄
215	市バス石屋川営業所	657-0026	灘区弓木町1-2-1		078-841-5352		34.719586	135.246867	灘区	市バス・地下鉄
216	市バス中央営業所	651-0082	中央区小野浜町7-65		078-334-0050		34.689883	135.205233	中央区	市バス・地下鉄
217	市バス松原営業所	652-0882	兵庫区芦原通5-1-31		078-652-0586		34.663455	135.164597	兵庫区	市バス・地下鉄
218	市バス落合営業所	654-0152	須磨区東落合1-1-5		078-793-0052		34.679977	135.104585	須磨区	市バス・地下鉄
219	市バス垂水営業所	655-0006	垂水区本多聞3-10-1		078-784-2575		34.662015	135.05191	垂水区	市バス・地下鉄
220	市バス西神営業所	651-2274	西区竹の台1-407-2		078-991-4525		34.713799	135.016603	西区	市バス・地下鉄
222	地下鉄西神中央駅	651-2273	西区糀台5		078-991-3002		34.719427	135.017378	西区	市バス・地下鉄
223	地下鉄西神南駅	651-2242	西区井吹台東町1		078-997-0812		34.704076	135.033747	西区	市バス・地下鉄
224	地下鉄伊川谷駅	651-2109	西区前開南町1		078-974-8118		34.690442	135.042082	西区	市バス・地下鉄
225	地下鉄学園都市駅	651-2103	西区学園西町1		078-792-2288		34.682318	135.057262	西区	市バス・地下鉄
226	地下鉄総合運動公園駅	654-0163	須磨区緑台		078-792-2267		34.681424	135.077366	須磨区	市バス・地下鉄
227	地下鉄名谷駅	654-0154	須磨区中落合2		078-791-1170		34.680224	135.095486	須磨区	市バス・地下鉄
228	地下鉄妙法寺駅	654-0131	須磨区横尾1		078-743-6040		34.674217	135.109774	須磨区	市バス・地下鉄
229	地下鉄板宿駅	654-0022	須磨区大黒町2		078-734-0076		34.65968	135.135172	須磨区	市バス・地下鉄
230	地下鉄新長田駅（西神・山手線）	653-0841	長田区松野通1		078-642-3157		34.658574	135.144355	長田区	市バス・地下鉄
231	地下鉄長田駅（長田神社前）	653-0004	長田区四番町7		078-575-9500		34.668469	135.151448	長田区	市バス・地下鉄
232	地下鉄上沢駅	652-0047	兵庫区下沢通8		078-521-0030		34.673274	135.158373	兵庫区	市バス・地下鉄
233	地下鉄湊川公園駅	652-0047	兵庫区下沢通1		078-521-0774		34.677526	135.166942	兵庫区	市バス・地下鉄
234	地下鉄大倉山駅	650-0017	中央区楠町3		078-361-2353		34.684635	135.174568	中央区	市バス・地下鉄
235	地下鉄県庁前駅	650-0011	中央区下山手通5		078-371-5806		34.69093	135.183929	中央区	市バス・地下鉄
236	地下鉄三宮駅	650-0012	中央区北長狭通1		078-391-3214		34.693607	135.191863	中央区	市バス・地下鉄
237	地下鉄新神戸駅	650-0001	中央区加納町1		078-242-6401		34.705295	135.19463	中央区	市バス・地下鉄
238	地下鉄新長田駅（海岸線）	653-0038	長田区若松町4		078-641-1665		34.657745	135.144962	長田区	市バス・地下鉄
239	地下鉄駒ヶ林駅	653-0035	長田区庄田町4		078-641-0681		34.652132	135.149621	長田区	市バス・地下鉄
240	地下鉄苅藻駅	653-0024	長田区浜添通5		078-652-5188		34.653941	135.157251	長田区	市バス・地下鉄
