施設ID	施設名	郵便番号	住所	方書	電話番号	FAX番号	緯度	経度	行政区コード	カテゴリリスト
46	リサイクル工房だいこく	654-0022	須磨区大黒町4-1-1	すまいるプラザ大黒内	078-731-0319		34.658819	135.133736	須磨区	ごみとリサイクル
55	環境局須磨事業所	654-0042	須磨区小寺町2-5-16		078-731-2041	078-731-2043	34.645975	135.136036	須磨区	ごみとリサイクル
64	落合クリーンセンター	654-0154	須磨区中落合3-1-1		078-792-3824	078-792-3233	34.68281	135.093473	須磨区	ごみとリサイクル
56	環境局垂水事業所	655-0006	垂水区本多聞7-1-1		078-783-0333	078-783-0348	34.650891	135.044566	垂水区	ごみとリサイクル
48	こうべ環境未来館	651-2228	西区見津が丘1-9	神戸複合産業団地内	078-995-3196	078-995-3192	34.741598	135.088544	西区	ごみとリサイクル
57	環境局西事業所	651-2253	西区平野町向井字祇園尾100		078-961-1414	078-961-1416	34.701311	134.98376	西区	ごみとリサイクル
65	西クリーンセンター	651-2106	西区伊川谷町井吹字三番くじ74-1		078-974-2005	078-976-1710	34.682629	135.020589	西区	ごみとリサイクル
67	布施畑環境センター	651-2101	西区伊川谷町布施畑字丸畑1172-2		078-974-1501	078-974-9245	34.715605	135.082683	西区	ごみとリサイクル
69	資源リサイクルセンター	650-0000	西区美津が丘1-9	神戸複合産業団地内	078-995-3323		34.740881	135.087934	西区	ごみとリサイクル
44	リサイクル工房あづま	651-0076	中央区吾妻通4-1-6	コミスタこうべ北棟2階	078-221-3144	078-221-3144	34.698377	135.20453	中央区	ごみとリサイクル
45	リサイクル工房みなとじま	650-0046	中央区港島中町8-3		078-303-0319	078-303-0319	34.661061	135.210663	中央区	ごみとリサイクル
51	環境局中央事業所	651-0072	中央区脇浜町3-2-30		078-251-3521	078-251-3359	34.700032	135.211448	中央区	ごみとリサイクル
62	港島クリーンセンター	650-0046	中央区港島中町8-3		078-302-0740	078-302-7941	34.661061	135.210663	中央区	ごみとリサイクル
54	環境局長田事業所	653-0025	長田区真野町9-24		078-652-1441	078-652-1443	34.660891	135.152026	長田区	ごみとリサイクル
63	苅藻島クリーンセンター	653-0033	長田区苅藻島町3-12-28		078-652-3398	078-652-3399	34.647511	135.159276	長田区	ごみとリサイクル
49	環境局東灘事業所	658-0026	東灘区魚崎西町3-5-3		078-841-0161	078-841-0179	34.711545	135.266672	東灘区	ごみとリサイクル
61	東クリーンセンター	658-0024	東灘区魚崎浜町1-7		078-452-4100	078-431-8654	34.705638	135.275557	東灘区	ごみとリサイクル
47	リサイクル工房ろっこう	657-0057	灘区神ノ木通3-6-18	旧灘区役所2階	078-881-3144	078-881-3144	34.71422	135.229663	灘区	ごみとリサイクル
50	環境局灘事業所	657-0041	灘区琵琶町2-1-2		078-871-1081	078-871-1083	34.711234	135.236338	灘区	ごみとリサイクル
52	環境局兵庫事業所	652-0855	兵庫区御崎町1-3-15		078-652-0981	078-652-0983	34.667704	135.16665	兵庫区	ごみとリサイクル
58	高松事業所	652-0874	兵庫区高松町1-55		078-652-1204	078-652-1206	34.652286	135.162178	兵庫区	ごみとリサイクル
59	自動車管理事務所	652-0855	兵庫区御崎町1-3-15		078-652-2043		34.657838	135.168211	兵庫区	ごみとリサイクル
53	環境局北事業所	651-1243	北区山田町下谷上字五郎本1-1		078-581-0462	078-581-0463	34.762209	135.157823	北区	ごみとリサイクル
