施設ID,施設名,郵便番号,住所,方書,電話番号,FAX番号,緯度,経度,行政区コード,カテゴリリスト
2295,魚崎南地域福祉センター,658-0025,東灘区魚崎南町2-9-4,,078-413-2354,,34.711495,135.277043,東灘区,市民活動
2296,渦が森地域福祉センター,658-0066,東灘区渦森台1-2-1,,078-822-8711,,34.738345,135.252269,東灘区,市民活動
2297,向洋地域福祉センター,658-0032,東灘区向洋町中6-3-2,,078-857-5347,,34.688218,135.263876,東灘区,市民活動
2298,本山南地域福祉センター,658-0015,東灘区本山南町7-1-20,,078-452-3550,,34.724355,135.286106,東灘区,市民活動
2299,浜御影地域福祉センター,658-0046,東灘区御影本町6-2-14,,078-854-0476,,34.71217,135.255503,東灘区,市民活動
2300,本山地域福祉センター,658-0072,東灘区岡本1-7-3,,078-453-2939,,34.72816,135.276904,東灘区,市民活動
2301,魚崎地域福祉センター,658-0083,東灘区魚崎中町4-3-16,,078-452-5296,,34.713959,135.271377,東灘区,市民活動
2302,本山東地域福祉センター,658-0011,東灘区森南町2-8-28,,078-412-9393,,34.729299,135.290266,東灘区,市民活動
2303,本山西地域福祉センター,658-0073,東灘区西岡本4-8-7,,078-412-8513,,34.726308,135.264135,東灘区,市民活動
2304,本庄地域福祉センター,658-0012,東灘区本庄町2-5-1,,078-412-8470,078-412-8470,34.72615,135.291414,東灘区,市民活動
2305,青木南地域福祉センター,658-0027,東灘区青木4-2-20,,078-452-7225,,34.718914,135.28655,東灘区,市民活動
2306,御影北地域福祉センター,658-0047,神戸市東灘区御影2丁目28-13,,078-811-1992,078-811-1992,34.722464,135.250204,東灘区,市民活動
2307,六甲アイランド地域福祉センター,658-0032,東灘区向洋町中3-1-6,,078-857-3787,,34.687834,135.274465,東灘区,市民活動
2308,福池地域福祉センター,658-0015,東灘区本山南町5-4-11,,078-412-0098,,34.720747,135.277454,東灘区,市民活動
2309,住吉地域福祉センター,658-0053,東灘区住吉宮町3-2-18,,078-811-2828,,34.716831,135.263283,東灘区,市民活動
2310,高羽地域福祉センター,657-0024,灘区楠丘町4-1-16,,078-854-0481,,34.72035,135.240979,灘区,市民活動
2311,岩屋地域福祉センター,657-0846,灘区岩屋北町2-5-3,,078-881-4918,,34.70619,135.221006,灘区,市民活動
2312,鶴甲地域福祉センター,657-0011,灘区鶴甲2-10-1,,078-822-8709,078-822-8708,34.733453,135.236112,灘区,市民活動
2313,六甲山地域福祉センター,657-0101,灘区六甲山町字西谷山1878-133,,078-891-1233,,34.753976,135.237295,灘区,市民活動
2314,新在家地域福祉センター,657-0864,灘区新在家南町3-2-25,,078-882-5955,,34.705668,135.236611,灘区,市民活動
2315,西郷地域福祉センター,657-0843,灘区大石北町8-1,,078-882-0331,,34.706943,135.231527,灘区,市民活動
2316,王子地域福祉センター,657-0825,灘区中原通7-5-1,,078-881-9587,,34.711414,135.21893,灘区,市民活動
2317,篠原地域福祉センター,657-0068,灘区篠原北町2-2-37,,078-801-5627,,34.722413,135.228469,灘区,市民活動
2318,成徳地域福祉センター,657-0037,灘区備後町1-3-1,成徳小学校内,078-822-6211,,34.715539,135.242121,灘区,市民活動
2319,稗田地域福祉センター,657-0826,灘区倉石通4-1-10,,078-801-4340,,34.712781,135.221705,灘区,市民活動
2320,摩耶地域福祉センター,657-0823,灘区天城通3-3-7,,078-801-2059,,34.71507,135.221594,灘区,市民活動
2321,なぎさ地域福祉センター,657-0855,灘区摩耶海岸通2-3-4,,078-871-6122,,34.702043,135.220342,灘区,市民活動
2322,灘地域福祉センター,657-0056,灘区千旦通1-5-2,,078-871-6837,,34.713403,135.232069,灘区,市民活動
2323,六甲地域福祉センター,657-0051,灘区八幡町4-8-28,,078-802-3104,,34.718714,135.233535,灘区,市民活動
2324,雲中地域福祉センター,651-0068,中央区旗塚通4-4-20,,078-291-0171,,34.704615,135.20161,中央区,市民活動
2325,東川崎地域福祉センター,650-0044,中央区東川崎町5-1-1,,078-652-3866,,34.67429,135.180813,中央区,市民活動
2326,宮本地域福祉センター,651-0063,中央区宮本通3-1-5,,078-251-3751,,34.706836,135.210779,中央区,市民活動
2327,籠池地域福祉センター,651-0053,中央区籠池通2-1-5,,078-261-1544,,34.711395,135.210132,中央区,市民活動
2328,下山手地域福祉センター,650-0012,中央区北長狭通7-3-13,,078-362-5844,,34.684492,135.178643,中央区,市民活動
2329,北野地域福祉センター,650-0004,中央区中山手通2-17-18,,078-241-7139,,34.696479,135.189162,中央区,市民活動
2330,神戸諏訪山地域福祉センター,650-0012,中央区北長狭通4-9-5,,078-331-5063,,34.69092,135.185769,中央区,市民活動
2331,吾妻地域福祉センター,651-0076,中央区吾妻通5-1-12,,078-251-1391,,34.698266,135.203869,中央区,市民活動
2332,小野柄地域福祉センター,651-0095,中央区旭通2-4-9,,078-221-5666,,34.697366,135.199744,中央区,市民活動
2333,橘地域福祉センター,650-0016,中央区橘通3-4-1,,078-341-6322,,34.681179,135.174391,中央区,市民活動
2334,春日野地域福祉センター,651-0078,中央区八雲通1-1-7,,078-242-0294,,34.700965,135.207049,中央区,市民活動
2335,若菜地域福祉センター,651-0067,中央区神若通2-3-7,,078-241-1921,,34.704026,135.203813,中央区,市民活動
2336,二宮地域福祉センター,651-0093,中央区二宮町3-12-1,,078-251-7051,,34.700115,135.195763,中央区,市民活動
2337,脇の浜地域福祉センター,651-0073,中央区脇浜海岸通3-2-7,,078-231-8300,,34.695351,135.206423,中央区,市民活動
2338,港島地域福祉センター,650-0045,中央区港島中島2-3-3,,078-303-1213,,34.670488,135.214966,中央区,市民活動
2339,山の手地域福祉センター,650-0004,中央区中山手通6-1-40,,078-360-8850,,34.691133,135.181268,中央区,市民活動
2340,和田岬地域福祉センター,652-0871,兵庫区浜山通1-1-5,,078-652-3633,,34.657847,135.171401,兵庫区,市民活動
2341,川池地域福祉センター,652-0045,兵庫区松本通5-2-6,,078-578-8112,,34.676892,135.160603,兵庫区,市民活動
2342,湊山地域福祉センター,652-0062,兵庫区大同町2-2-8,,078-511-4056,,34.68773,135.162705,兵庫区,市民活動
2343,浜山地域福祉センター,652-0855,兵庫区御崎町1-2-4,,078-651-4862,,34.655694,135.168111,兵庫区,市民活動
